days, mement, link
225 , 11 ,"http://pando.com/2014/02/25/revenge-of-the-nerds-how-tech-geeks-found-a-secret-weapon-in-their-fight-against-big-hollywood/"
566 , 3 ,"http://reinventors.net/roundtables/reinvent-government-procurement/#sthash.VM0qiNqe.uxfs"
1283 , 3 ,"http://reconnectingamerica.org/laequityatlas/index.php"
3439 , 1002 ,"http://radar.oreilly.com/"
960 , 19 ,"https://www.aclu.org/blog/national-security-technology-and-liberty/edward-snowden-talk-privacy-tech-community-sxsw"
642 , 41 ,"http://techcrunch.com/2014/01/23/pch-acquires-shoplocket/"
183 , 18 ,"http://violentmetaphors.com/2014/03/25/parents-you-are-being-lied-to/"
2319 , 5 ,"http://radar.oreilly.com/2014/03/podcast-thinking-with-data.html"
229 , 7 ,"http://www.theguardian.com/commentisfree/2014/feb/14/family-first-world-war-experiences-these-are-mine"
728 , 42 ,"http://www.oreilly.com/dataweek/"
4635 , 6 ,"http://www.cbsnews.com/videos/new-technology-makes-customers-better-tippers/"
283 , 63 ,"http://www.brainpickings.org/index.php/2013/12/16/writers-wakeup-times-literary-productivity-visualization/"
1323 , 18 ,"http://qz.com/206705/the-us-lawyer-bubble-has-conclusively-popped/"
2340 , 52 ,"http://qpdf.sourceforge.net"
295 , 5 ,"http://blog.unglue.it/2014/04/30/thanks-for-ungluing-launches/"
5 , 7 ,"http://www.slate.com/articles/health_and_science/medical_examiner/2014/09/why_ebola_is_terrifying_and_dangerous_it_preys_on_family_caregiving_and.html"
317 , 5 ,"http://www.moore.org/programs/science/data-driven-discovery/ddd-investigators"
229 , 4 ,"http://www.parley.tv/thevortexproject#vortex1"
2597 , 6 ,"http://www.scientificamerican.com/article/strange-but-true-cats-cannot-taste-sweets/"
1938 , 30 ,"http://www.slideshare.net/timoreilly/government-for-the-people-by-the-people-in-the-21st-century"
468 , 142 ,"https://mayday.us/"
2315 , 3 ,"http://solidcon.com/solid2014/public/schedule/list"
216 , 4 ,"http://radar.oreilly.com/2014/02/oobleck-security.html"
294 , 3 ,"http://pando.com/2014/02/14/bulletproof-yourself-how-dave-asprey-is-teaching-valley-insiders-to-hack-their-biology/"
555 , 5 ,"http://www.sciencefriday.com/segment/01/24/2014/is-coding-the-language-of-the-digital-age.html"
4619 , 3 ,"http://edge.org/conversation/whats-new-in-the-universe"
, 1002 ,"http://www.whitehouse.gov/"
